ni,nc,method,par,true_value,value,se
1e3,25,J,z,0,1.7773739799007877,0
100,50,J,z,0,1.817277655358816,0
500,50,J,z,0,0.4365407136126768,0
1e3,50,J,z,0,-0.053465719878415044,0
100,10,N,z,0,0.6446157363148282,0
500,10,N,z,0,-0.4442319301724572,0
1e3,10,N,z,0,1.237372186391889,0
100,25,N,z,0,1.2533625764232064,0
500,25,N,z,0,0.272919336158593,0
1e3,25,N,z,0,-2.080428720932599,0
100,50,N,z,0,0.39472035299387703,0
500,50,N,z,0,-1.2267071504925127,0
1e3,50,N,z,0,1.8347548927620736,0
100,10,G,o,0,1.8109646840712166,0
500,10,G,o,0,0.6497779223362029,0
1e3,10,G,o,0,2.0358912179119204,0
100,25,G,o,0,2.030396971242313,0
500,25,G,o,0,-2.2326269289192537,0
1e3,25,G,o,0,0.8104050663674209,0
100,50,G,o,0,3.4948629826319237,0
500,50,G,o,0,-1.8192633844281447,0
1e3,50,G,o,0,-0.28620425889908996,0
100,10,J,o,0,-1.7869314560546066,0
500,10,J,o,0,0.6385764127054172,0
1e3,10,J,o,0,0.6485953520122393,0
100,25,J,o,0,0.017142753046037913,0
500,25,J,o,0,3.9908768008195405,0
1e3,25,J,o,0,1.6425880608121077,0
100,50,J,o,0,1.2985712261869924,0
500,50,J,o,0,0.468527493494542,0
1e3,50,J,o,0,3.796550982103917,0
100,10,N,o,0,1.3627325743760181,0
500,10,N,o,0,0.095252038428633,0
1e3,10,N,o,0,1.1133933875608373,0
100,25,N,o,0,-2.5337025001156177,0
500,25,N,o,0,2.029408440763635,0
1e3,25,N,o,0,0.5336105259615301,0
100,50,N,o,0,-5.607779152779738,0
500,50,N,o,0,-1.7969054514986729,0
1e3,50,N,o,0,-2.289347995082971,0
100,10,G,x,0.5,2.31383606584224,0.22368445369647816
500,10,G,x,0.5,1.025855063983212,0.20539775263750926
1e3,10,G,x,0.5,0.49859719945012726,0.030822684289887547
100,25,G,x,0.5,0.40156253396244035,0.12300946295727044
500,25,G,x,0.5,3.5289539302503017,0.1784649676992558
1e3,25,G,x,0.5,-0.3907701777481516,0.10780121595598757
100,50,G,x,0.5,0.8757611302635002,0.16688859061105177
500,50,G,x,0.5,0.09954691231441382,0.24426462379051372
1e3,50,G,x,0.5,1.2528326997822954,0.060521260485984385
100,10,J,x,0.5,-0.691798486523914,0.03531540330732241
500,10,J,x,0.5,0.313617149949213,0.08730639441637322
1e3,10,J,x,0.5,0.6208690372360582,0.2159433759516105
100,25,J,x,0.5,3.7453477134128956,0.046740888617932796
500,25,J,x,0.5,0.8530679372807037,0.14039530791342258
1e3,25,J,x,0.5,-0.25954905903578873,0.05543714523082599
100,50,J,x,0.5,-0.647276486349385,0.2275566450553015
500,50,J,x,0.5,0.336311197783559,0.15630955464439467
1e3,50,J,x,0.5,0.4249114045173526,0.00949680432677269
100,10,N,x,0.5,2.437123811878498,0.06654227909166366
500,10,N,x,0.5,0.995854875926668,0.22249809943605214
1e3,10,N,x,0.5,0.029186577603363406,0.05774936982197687
100,25,N,x,0.5,1.6659055454137297,0.19881069078110158
500,25,N,x,0.5,4.010676723831342,0.10846169403521344
1e3,25,N,x,0.5,1.5031249357437773,0.06042921368498355
100,50,N,x,0.5,1.0089823172929107,0.24461601831717417
500,50,N,x,0.5,-0.98354185571407,0.24329968163510785
1e3,50,N,x,0.5,-0.17970535889110684,0.005709800694603473
100,10,G,f,0.5,0.25113151854105065,0.18524690193589777
500,10,G,f,0.5,1.2571294910287176,0.17483145522419363
1e3,10,G,f,0.5,1.0275791382824997,0.2460887020570226
100,25,G,f,0.5,1.207762639633958,0.14124053245177492
500,25,G,f,0.5,1.2533605167382689,0.011329886328894645
1e3,25,G,f,0.5,1.7191541781163662,0.052021216542925686
100,50,G,f,0.5,-1.990212274327122,0.03699563053669408
500,50,G,f,0.5,1.778511969567326,0.027576703345403075
1e3,50,G,f,0.5,1.2117490386846532,0.03326469351304695
100,10,J,f,0.5,-0.56085644917353,0.17117474018596113
500,10,J,f,0.5,3.3104744007184013,0.12506809359183535
1e3,10,J,f,0.5,1.774809152066346,0.022338423877954483
100,25,J,f,0.5,1.2423051387148836,0.12405306712025777
500,25,J,f,0.5,-0.7088320390771745,0.0525268602068536
1e3,25,J,f,0.5,2.531036983961283,0.24548073892947286
100,50,J,f,0.5,0.05073495359916719,0.15010901866480708
500,50,J,f,0.5,1.2928115291593087,0.16154289239784703
1e3,50,J,f,0.5,0.6417465200932986,0.19869322492741048
100,10,N,f,0.5,1.2533561267662523,0.16712332831230015
500,10,N,f,0.5,0.7566033148143521,0.20860369555884972
1e3,10,N,f,0.5,0.4553738297253708,0.2430402624886483
100,25,N,f,0.5,1.4631517412096553,0.044986463501118124
500,25,N,f,0.5,0.6809546566037419,0.24193914275383577
1e3,25,N,f,0.5,1.5171703579957474,0.039588820829521865
100,50,N,f,0.5,1.8317588137895675,0.005098190042190254
500,50,N,f,0.5,1.4106762298749178,0.15283979690866545
1e3,50,N,f,0.5,-1.9262098810651245,0.13513371808221564
100,10,G,v,0.5,1.5064235938394674,0.20746588800102472
500,10,G,v,0.5,0.42370154283127776,0.021772137784864753
1e3,10,G,v,0.5,1.6742243343592136,0.006019933323841542
100,25,G,v,0.5,1.1006346951353834,0.0984469669056125
500,25,G,v,0.5,2.399271793735773,0.036179574904963374
1e3,25,G,v,0.5,-1.0105451706654918,0.050725389912258834
100,50,G,v,0.5,-0.07083220892625419,0.17041901330230758
500,50,G,v,0.5,-2.3930895254568814,0.07024036918301135
1e3,50,G,v,0.5,0.06368701944722582,0.09922314179129899
100,10,J,v,0.5,1.1471382071065621,0.21348231605952606
500,10,J,v,0.5,0.7609060171062263,0.06614036782411858
1e3,10,J,v,0.5,1.1674219826398993,0.047540089988615364
100,25,J,v,0.5,2.497635171584757,0.22425710095558316
500,25,J,v,0.5,-1.1448479221464458,0.2377807404845953
1e3,25,J,v,0.5,0.9997899773719658,0.2281981793930754
100,50,J,v,0.5,0.3323601560986761,0.11692824953934178
500,50,J,v,0.5,0.8932564670502053,0.17594373493921012
1e3,50,J,v,0.5,0.7669103960986356,0.021572402387391776
100,10,N,v,0.5,-0.42269328891395586,0.1161590141709894
500,10,N,v,0.5,-1.3154099078935706,0.09637638367712498
1e3,10,N,v,0.5,2.833931444904362,0.1391883335309103
100,25,N,v,0.5,-0.338354852054465,0.06243513780646026
500,25,N,v,0.5,0.5477426988280384,0.0686517646536231
1e3,25,N,v,0.5,2.59130861180744,0.029035071493126452
100,50,N,v,0.5,2.8814532704865696,0.13008862204151228
500,50,N,v,0.5,-0.036985091617283916,0.19872572988970205
1e3,50,N,v,0.5,0.6947616332177341,0.08826831134501845
100,10,G,z,0.5,0.015522315315066482,0.0828678379766643
500,10,G,z,0.5,-1.0358058996515542,0.24629004742018878
1e3,10,G,z,0.5,1.4024662837489192,0.017284931964240968
100,25,G,z,0.5,1.1529190451646525,0.1175509043969214
500,25,G,z,0.5,-0.6490462439120142,0.13885302800917998
1e3,25,G,z,0.5,1.8148034554964918,0.03180200414499268
100,50,G,z,0.5,0.22619556289794157,0.20064065646147355
500,50,G,z,0.5,-0.23039102364751196,0.15744229994015768
1e3,50,G,z,0.5,-1.8922424404156097,0.08364964061183855
100,10,J,z,0.5,0.8282652625159163,0.2093382014427334
500,10,J,z,0.5,0.960289736850247,0.24375277222134173
1e3,10,J,z,0.5,-1.7831939962199712,0.08486115059349686
100,25,J,z,0.5,-2.1636622776486605,0.15552209492307156
500,25,J,z,0.5,4.007560892711248,0.13992302573751658
1e3,25,J,z,0.5,1.2437442158022376,0.2460692689055577
100,50,J,z,0.5,-1.5365370813719452,0.019494084059260786
500,50,J,z,0.5,-1.8475265524799829,0.23925074510043487
1e3,50,J,z,0.5,0.9471564211480946,0.08221010456327349
100,10,N,z,0.5,1.8434342242938249,0.05906377814244479
500,10,N,z,0.5,4.980975952097212,0.20545873371884227
1e3,10,N,z,0.5,0.45613732049631034,0.21327711595222354
100,25,N,z,0.5,-1.0445029746660444,0.03801403194665909
500,25,N,z,0.5,-0.8899545327827532,0.021830376412253827
1e3,25,N,z,0.5,2.931502637442997,0.04028940509306267
100,50,N,z,0.5,-2.1115503151292554,0.02076249913079664
500,50,N,z,0.5,2.191704840381389,0.15722577966516837
1e3,50,N,z,0.5,-0.16251777027588754,0.09649905009428039
100,10,G,o,0.5,0.1374906556987016,0.08911731385160238
500,10,G,o,0.5,0.33489707051249173,0.03544515464454889
1e3,10,G,o,0.5,-0.8093587741421215,0.24766777048353106
100,25,G,o,0.5,0.696794868975235,0.0689948060316965
500,25,G,o,0.5,-0.05108504248365742,0.1474453302216716
1e3,25,G,o,0.5,1.3446695688078072,0.14409254724159837
100,50,G,o,0.5,1.0044522042419766,0.2321918904199265
500,50,G,o,0.5,-0.31854132759709064,0.031092068122234195
1e3,50,G,o,0.5,-0.6474158497131073,0.09977089869789779
100,10,J,o,0.5,1.4876415301118233,0.24433929298538715
500,10,J,o,0.5,0.6820768166396902,0.1992249151226133
1e3,10,J,o,0.5,1.836156387939739,0.21824832301354036
100,25,J,o,0.5,-0.02233912348158984,0.034366177511401474
500,25,J,o,0.5,-1.1472750923851278,0.15467590978369117
1e3,25,J,o,0.5,0.53893632913828,0.20090275024995208
100,50,J,o,0.5,-0.9320625313592366,0.006007964315358549
500,50,J,o,0.5,0.5348578622398793,0.05652933067176491
1e3,50,J,o,0.5,0.534862365541405,0.16055526165291667
100,10,N,o,0.5,0.8436329233253476,0.11279132298659533
500,10,N,o,0.5,-1.8331366730271608,0.2104883844149299
1e3,10,N,o,0.5,-0.04168149016258926,0.08827315864618868
100,25,N,o,0.5,-1.3639266077999723,0.14772385271498933
500,25,N,o,0.5,2.224742449647997,0.1397217606427148
1e3,25,N,o,0.5,1.81619945076941,0.16552294907160103
100,50,N,o,0.5,-0.3605897069700046,0.11568223318317905
500,50,N,o,0.5,-0.3229916997570971,0.08717334648827091
1e3,50,N,o,0.5,-0.7479534480302372,0.07305487099802122
100,10,G,x,1,1.0566375760630389,0.12780181202106178
500,10,G,x,1,-1.844591169652142,0.8578798794187605
1e3,10,G,x,1,-3.5796636060881575,0.847611399134621
100,25,G,x,1,2.0316039808930153,0.47637948021292686
500,25,G,x,1,0.8538245123180902,0.623139581643045
1e3,25,G,x,1,1.375823576196681,0.2438259283080697
100,50,G,x,1,-1.898644864290504,0.35499151120893657
500,50,G,x,1,4.396643024714912,0.953440019628033
1e3,50,G,x,1,-0.250414320858529,0.6158686405979097
100,10,J,x,1,3.425805023363731,0.932442544028163
500,10,J,x,1,1.8599419394240586,0.16283941944129765
1e3,10,J,x,1,0.01730376627003749,0.5668505961075425
100,25,J,x,1,0.4708294104264693,0.155092082452029
500,25,J,x,1,1.6249762403835242,0.5303309208247811
1e3,25,J,x,1,0.07749098621005657,0.06872698664665222
100,50,J,x,1,1.1328786998986364,0.1973385876044631
500,50,J,x,1,-0.01868993554403242,0.5987578055355698
1e3,50,J,x,1,-0.8015999951887414,0.035630770958960056
100,10,N,x,1,0.5733121434692241,0.9071041878778487
500,10,N,x,1,2.2105333033795382,0.9258816146757454
1e3,10,N,x,1,1.8591008962665252,0.07288806443102658
100,25,N,x,1,-0.9325320369740362,0.543418678920716
500,25,N,x,1,0.958667601175903,0.4871979537419975
1e3,25,N,x,1,2.585021895514843,0.9225626580882818
100,50,N,x,1,-1.7376353695449724,0.6744996353518218
500,50,N,x,1,-0.9934473323187853,0.3151079819072038
1e3,50,N,x,1,-0.2688463411601023,0.3195942060556263
100,10,G,f,1,3.502620510113855,0.7130023362115026
500,10,G,f,1,0.9841220309337453,0.8376439472194761
1e3,10,G,f,1,1.4150573521402456,0.7032990006264299
100,25,G,f,1,-1.2183772013611875,0.6584417035337538
500,25,G,f,1,-0.13659980944823502,0.8809976004995406
1e3,25,G,f,1,1.2262524650139093,0.2320373875554651
100,50,G,f,1,0.49054054980667383,0.15879087965004146
500,50,G,f,1,1.0093759858576636,0.939776215236634
1e3,50,G,f,1,0.1944953731763447,0.39068308705464005
100,10,J,f,1,-0.8093127481023115,0.43198601994663477
500,10,J,f,1,0.6244914480219053,0.7335040157195181
1e3,10,J,f,1,1.4787664853362825,0.7345864076633006
100,25,J,f,1,1.5965322016070354,0.01293228892609477
500,25,J,f,1,1.7537311951983805,0.8716625068336725
1e3,25,J,f,1,2.171685637767477,0.005305383820086718
100,50,J,f,1,1.4111902201771032,0.4020714785438031
500,50,J,f,1,-2.8438395718822895,0.2930340610910207
1e3,50,J,f,1,1.8444200227391514,0.10137685900554061
100,10,N,f,1,1.368419582897974,0.4623060426674783
500,10,N,f,1,2.8047379878832537,0.1768496276345104
1e3,10,N,f,1,-0.7449355649846134,0.49622823391109705
100,25,N,f,1,1.7989188125748063,0.12047877674922347
500,25,N,f,1,0.7131640464126128,0.9458418663125485
1e3,25,N,f,1,2.4843839888299857,0.18955091084353626
100,50,N,f,1,-2.5113886928271314,0.227321766782552
500,50,N,f,1,4.310032639376608,0.9026082837954164
1e3,50,N,f,1,-2.9360827072477393,0.9622820701915771
100,10,G,v,1,3.7802492467346256,0.6104383342899382
500,10,G,v,1,2.2456758130553194,0.18213410349562764
1e3,10,G,v,1,-1.2602954275243894,0.6555914650671184
100,25,G,v,1,-1.948605296496234,0.3173281771596521
500,25,G,v,1,0.8268494755029062,0.63061882997863
1e3,25,G,v,1,2.8960167478057457,0.958279725862667
100,50,G,v,1,-0.6535624305103342,0.8498702810611576
500,50,G,v,1,-0.3040263245276926,0.7912287216167897
1e3,50,G,v,1,3.2632975246761387,0.6026986059732735
100,10,J,v,1,2.145614432271188,0.4580477620474994
500,10,J,v,1,2.5523838596309965,0.9780831218231469
1e3,10,J,v,1,0.22963127949203643,0.08197028678841889
100,25,J,v,1,2.408277447851237,0.9450973358470947
500,25,J,v,1,2.3409212175419323,0.6841100996825844
1e3,25,J,v,1,0.20489411600940577,0.09805098897777498
100,50,J,v,1,0.990420280213225,0.4520845250226557
500,50,J,v,1,2.3431912791473004,0.9665774723980576
1e3,50,J,v,1,-0.2812753504737511,0.2516911602579057
100,10,N,v,1,-0.1316325820142914,0.31334674800746143
500,10,N,v,1,1.473839215360143,0.03596878913231194
1e3,10,N,v,1,-0.19317088908294733,0.30822334554977715
100,25,N,v,1,0.08572438989560083,0.5005104960873723
500,25,N,v,1,-0.19881742811220438,0.7111511374823749
1e3,25,N,v,1,2.66884724897921,0.9009807331021875
100,50,N,v,1,1.130696953937488,0.18327506445348263
500,50,N,v,1,0.49750873720989797,0.8042770735919476
1e3,50,N,v,1,2.74846080182955,0.3480850509367883
100,10,G,z,1,0.17771282309609193,0.39824165403842926
500,10,G,z,1,2.7546446218366496,0.131864016642794
1e3,10,G,z,1,-0.11985301632430656,0.3369751654099673
100,25,G,z,1,2.836762792399849,0.7557103610597551
500,25,G,z,1,-2.564296782879219,0.20612327218987048
1e3,25,G,z,1,0.7373637835352723,0.3364036560524255
100,50,G,z,1,0.4306670965741115,0.8475780510343611
500,50,G,z,1,-0.21242406424450166,0.774163375608623
1e3,50,G,z,1,0.4313969821265524,0.6922799609601498
100,10,J,z,1,1.286206302956155,0.4587910268455744
500,10,J,z,1,2.004354354372304,0.7543081098701805
1e3,10,J,z,1,0.9703609685320723,0.08205496636219323
100,25,J,z,1,0.04616408654392712,0.800942282890901
500,25,J,z,1,-1.3392265897359001,0.8148707211948931
1e3,25,J,z,1,3.853180383870697,0.25186532572843134
100,50,J,z,1,2.266330786395902,0.3558846472296864
500,50,J,z,1,2.752370605551282,0.9179016062989831
1e3,50,J,z,1,0.5815364308944535,0.776216319296509
100,10,N,z,1,0.5394612172283986,0.6269025588408113
500,10,N,z,1,-0.20730468609497343,0.7315680363681167
1e3,10,N,z,1,1.7568568305463246,0.39168681506998837
100,25,N,z,1,1.5976330737865827,0.6654556756839156
500,25,N,z,1,0.9148770863079286,0.7183423971291631
1e3,25,N,z,1,0.7072416408230182,0.9431330850347877
100,50,N,z,1,-0.9459886472551564,0.9363031780812889
500,50,N,z,1,1.9999933413370354,0.9736535740084946
1e3,50,N,z,1,4.19299789463881,0.262743903324008
100,10,G,o,1,0.6603656634844741,0.9492540766950697
500,10,G,o,1,-0.4416874349387896,0.39938435493968427
1e3,10,G,o,1,2.5002541647998298,0.36012380314059556
100,25,G,o,1,-0.0401921789345725,0.7610275710467249
500,25,G,o,1,0.16515139104924048,0.9175354435574263
1e3,25,G,o,1,0.41045629108299586,0.7160478015430272
100,50,G,o,1,2.5323462952327063,0.3291940111666918
500,50,G,o,1,3.510169606969501,0.7849250249564648
1e3,50,G,o,1,-0.5472590910470001,0.012655948288738728
100,10,J,o,1,-0.6825666058118645,0.903497498948127
500,10,J,o,1,1.794353607660128,0.7404733183793724
1e3,10,J,o,1,1.632615187466972,0.3895152467302978
100,25,J,o,1,1.1358123155195752,0.5895614193286747
500,25,J,o,1,2.661767942449522,0.8232205808162689
1e3,25,J,o,1,-0.2948897809957478,0.21351146046072245
100,50,J,o,1,0.8584306071820786,0.49052920984104276
500,50,J,o,1,-0.7849573414139666,0.20816465793177485
1e3,50,J,o,1,-0.49068005742512044,0.8941266092006117
100,10,N,o,1,1.0727193525178913,0.3961365132126957
500,10,N,o,1,0.37103697531028523,0.11593541805632412
1e3,10,N,o,1,2.422614524224493,0.7656032096128911
100,25,N,o,1,-2.67452785655162,0.6956488511059433
500,25,N,o,1,-0.24074450083845722,0.2661758358590305
1e3,25,N,o,1,4.341682757249468,0.3276594670023769
100,50,N,o,1,1.9292014762014102,0.8310821882914752
500,50,N,o,1,4.283847076172031,0.07452440704219043
1e3,50,N,o,1,2.7400457024959897,0.18843204947188497
100,10,G,x,1.5,-8.458883734678247,0.962174073618371
500,10,G,x,1.5,6.198316224494188,0.45630905317375436
1e3,10,G,x,1.5,0.7240533670095076,1.0249428141396493
100,25,G,x,1.5,2.0275547160173417,0.6539727308554575
500,25,G,x,1.5,8.663940059163213,0.38921498239506036
1e3,25,G,x,1.5,4.493332623256869,1.2749575728666969
100,50,G,x,1.5,2.7374486087974024,0.6943727157195099
500,50,G,x,1.5,-3.3897649290747616,1.6852164552547038
1e3,50,G,x,1.5,4.309698056758961,1.1664809475769289
100,10,J,x,1.5,-3.9727576073055113,0.8943418322014622
500,10,J,x,1.5,0.9689582458922146,1.0581998930429108
1e3,10,J,x,1.5,1.194469088796917,1.776889644563198
100,25,J,x,1.5,5.510488593216885,1.8956680694245733
500,25,J,x,1.5,3.8154874606537716,2.1003584091668017
1e3,25,J,x,1.5,5.728384718293378,0.3981810298282653
100,50,J,x,1.5,-0.7164502811916464,0.5613527201930992
500,50,J,x,1.5,10.573642255814457,1.475814862002153
1e3,50,J,x,1.5,7.719096431353792,0.03940414823591709
100,10,N,x,1.5,7.028425107980235,1.9922230996889994
500,10,N,x,1.5,1.5545445019350401,2.0250415326445363
1e3,10,N,x,1.5,0.7253186879139335,1.6901748444652185
100,25,N,x,1.5,1.6519034005419995,0.43383924738736823
500,25,N,x,1.5,2.0575035818720653,0.787023292039521
1e3,25,N,x,1.5,3.5357415870449915,1.5116053653764538
100,50,N,x,1.5,2.108229510954687,1.7357032045838423
500,50,N,x,1.5,6.044372908553921,2.0682083868887275
1e3,50,N,x,1.5,1.9846801400762324,1.580826950201299
100,10,G,f,1.5,4.8763410008082015,0.9130047242506407
500,10,G,f,1.5,-0.5540337831650683,1.2290754115674645
1e3,10,G,f,1.5,3.067478191550416,1.2408890712540597
100,25,G,f,1.5,-0.022916969479748195,0.8326362653751858
500,25,G,f,1.5,-1.2543140323593,1.9092850688612089
1e3,25,G,f,1.5,8.35185977414254,0.7868942563072778
100,50,G,f,1.5,5.880552780204645,1.4046563848969527
500,50,G,f,1.5,5.60697129139973,2.10989714122843
1e3,50,G,f,1.5,1.535695670499839,1.2378681332920678
100,10,J,f,1.5,2.9324682205057506,2.048416711273603
500,10,J,f,1.5,0.8286038754735524,1.0398157029412687
1e3,10,J,f,1.5,0.023773818479221775,0.5993435480631888
100,25,J,f,1.5,4.151108727171634,0.7852185954689048
500,25,J,f,1.5,4.034072534869649,1.8818052214337513
1e3,25,J,f,1.5,-1.2746155613317436,2.2132878964184783
100,50,J,f,1.5,-1.6769310545734437,1.806226545595564
500,50,J,f,1.5,-2.998168788378898,1.599989102454856
1e3,50,J,f,1.5,1.7269047000638142,1.3099304477800615
100,10,N,f,1.5,4.701931983036731,0.6238794673117809
500,10,N,f,1.5,1.5792680110593411,1.6590570195112377
1e3,10,N,f,1.5,7.33668259531313,2.105465703411028
100,25,N,f,1.5,5.831910892685507,1.3541978506254964
500,25,N,f,1.5,-1.9461648692596212,1.58786328707356
1e3,25,N,f,1.5,4.12505823999956,0.30484178953338414
100,50,N,f,1.5,8.60995471963172,0.9832337006810121
500,50,N,f,1.5,3.2013921464738075,0.7900981780258007
1e3,50,N,f,1.5,3.572938007729023,0.689354797184933
100,10,G,v,1.5,3.4561597490356,0.6275567596312612
500,10,G,v,1.5,2.754948505619808,0.4919504623976536
1e3,10,G,v,1.5,-0.21405996022300178,2.101388958923053
100,25,G,v,1.5,-6.57049575655274,0.3298756430740468
500,25,G,v,1.5,3.38067925533668,2.0946613909327425
1e3,25,G,v,1.5,5.985105833842371,1.2536082494189031
100,50,G,v,1.5,-0.2981317064524982,1.6248558800434694
500,50,G,v,1.5,-0.4111118314180784,1.9913330159615725
1e3,50,G,v,1.5,9.550604397828534,0.7280895734438673
100,10,J,v,1.5,2.809955809185248,1.1219504933687858
500,10,J,v,1.5,-0.12633323784319495,1.2560373516753316
1e3,10,J,v,1.5,0.9922043354744414,0.1427777964854613
100,25,J,v,1.5,-2.2580738053538534,1.8894393970258534
500,25,J,v,1.5,2.122099342807627,0.5689139569876716
1e3,25,J,v,1.5,-6.558478959709628,1.2270699558430351
100,50,J,v,1.5,-0.6977756312380676,1.103865340235643
500,50,J,v,1.5,5.209314413195278,0.052322265109978616
1e3,50,J,v,1.5,6.02285579667549,2.052127194358036
100,10,N,v,1.5,-1.3923913537534158,1.2204668140620925
500,10,N,v,1.5,2.9513847807880005,2.0844307930092327
1e3,10,N,v,1.5,1.0904504661615368,0.2880966088268906
100,25,N,v,1.5,4.362085338704559,2.0784730797749944
500,25,N,v,1.5,-5.301606278485097,0.7825512135168537
1e3,25,N,v,1.5,-4.273088926935906,1.5414440914755687
100,50,N,v,1.5,6.785084638167038,0.7530058975098655
500,50,N,v,1.5,-4.551253482438856,0.4120736723416485
1e3,50,N,v,1.5,8.258650501482407,0.7919509390485473
100,10,G,z,1.5,2.608010055975597,1.015122979239095
500,10,G,z,1.5,-7.784866866708272,1.572403006022796
1e3,10,G,z,1.5,3.4381658586537487,2.1399026080034673
100,25,G,z,1.5,3.402448583259549,1.920358597068116
500,25,G,z,1.5,-6.906954480311324,1.2198942043469287
1e3,25,G,z,1.5,-5.752138536026296,0.6849848537240177
100,50,G,z,1.5,4.3745758542427815,1.1062837723293342
500,50,G,z,1.5,8.30303928615464,1.4331727981916629
1e3,50,G,z,1.5,0.2634549256619796,0.7909405488171615
100,10,J,z,1.5,1.7567744772391605,0.15896361140767112
500,10,J,z,1.5,0.8800761550683318,1.518993645266164
1e3,10,J,z,1.5,2.6341374673128586,1.8548485163482837
100,25,J,z,1.5,-6.011315260247344,1.6548776962445118
500,25,J,z,1.5,-1.651721851602578,0.5708756906096824
1e3,25,J,z,1.5,5.525169897407648,1.448536791605875
100,50,J,z,1.5,3.457681599620055,1.0785328777274117
500,50,J,z,1.5,4.636583548509076,0.4349213453242555
1e3,50,J,z,1.5,-1.6966649210666573,0.5294705997803248
100,10,N,z,1.5,1.7347402197658375,1.8633374469936825
500,10,N,z,1.5,4.879789745053396,0.027496348251588643
1e3,10,N,z,1.5,2.9638398239153183,1.4938009305624291
100,25,N,z,1.5,1.312655754759935,1.7502867170842364
500,25,N,z,1.5,5.45326234700579,2.083741114824079
1e3,25,N,z,1.5,1.2111826216547348,1.083254564087838
100,50,N,z,1.5,2.365731567541362,0.20817392313620076
500,50,N,z,1.5,-4.142856754944809,0.30153273622272536
1e3,50,N,z,1.5,3.000900465696387,0.6612602063105442
100,10,G,o,1.5,1.383318621382795,0.04951012664241716
500,10,G,o,1.5,0.8998113828442798,1.3824247026932426
1e3,10,G,o,1.5,5.904908076272139,0.7501978457439691
100,25,G,o,1.5,5.042185757743676,1.0783132781507447
500,25,G,o,1.5,-4.076469084221285,0.9836090370663442
1e3,25,G,o,1.5,-3.787373490997412,1.9911752109182999
100,50,G,o,1.5,0.7618076937035966,1.3185337610193528
500,50,G,o,1.5,7.69363461359849,2.135518874216359
1e3,50,G,o,1.5,0.6425296509910681,1.401922223798465
100,10,J,o,1.5,6.541996344285921,1.3473347299732268
500,10,J,o,1.5,5.501978577544231,1.2237660526880063
1e3,10,J,o,1.5,-4.233015397950504,1.8241934913676232
100,25,J,o,1.5,-1.4916202703916666,0.22551892540650442
500,25,J,o,1.5,1.4185879524701976,2.0170732575352304
1e3,25,J,o,1.5,5.125565373605675,2.184588367352262
100,50,J,o,1.5,-1.8084171324367508,1.4867815193720162
500,50,J,o,1.5,3.271116258289557,1.9142393991351128
1e3,50,J,o,1.5,-1.8174343066360725,0.8303559146588668
100,10,N,o,1.5,0.17967252897681574,1.1332572752726264
500,10,N,o,1.5,0.9933043139136907,1.089890431438107
1e3,10,N,o,1.5,-0.13601323351839167,0.6763977505615912
100,25,N,o,1.5,9.222220632223014,0.3111743980553001
500,25,N,o,1.5,1.9869727964411323,1.023595648468472
1e3,25,N,o,1.5,1.8830789954957325,1.6929831644520164
100,50,N,o,1.5,3.3280815197681353,1.268607217760291
500,50,N,o,1.5,-0.17022409924331616,0.1873369199456647
1e3,50,N,o,1.5,3.196642983519207,1.4537069375510328
100,10,G,x,2,-1.939335790109682,3.189430861733854
500,10,G,x,2,16.57696059300946,0.33927196636796
1e3,10,G,x,2,-7.682655822967753,3.2441790979355574
100,25,G,x,2,10.59784208540195,2.4897785745561123
500,25,G,x,2,-1.733128735870034,2.9975598342716694
1e3,25,G,x,2,4.4598154035507,3.5584961334243417
100,50,G,x,2,-17.18312014126954,1.5046503990888596
500,50,G,x,2,-9.908655301453292,2.018763344734907
1e3,50,G,x,2,-3.2488754976871403,0.5827119396999478
100,10,J,x,2,16.347393131599137,0.3904606755822897
500,10,J,x,2,5.741198799667285,0.9398822877556086
1e3,10,J,x,2,10.368415577957986,0.15049317758530378
100,25,J,x,2,-5.231898929048313,3.19696341548115
500,25,J,x,2,0.06876995828770593,2.0989637495949864
1e3,25,J,x,2,9.41279647043722,3.776552014052868
100,50,J,x,2,6.075757161317811,2.8189223678782582
500,50,J,x,2,15.299202726768899,3.1337867146357894
1e3,50,J,x,2,-0.6441763291695448,0.03574804589152336
100,10,N,x,2,14.079449501508497,3.5416403328999877
500,10,N,x,2,-13.60409015023176,1.6083802785724401
1e3,10,N,x,2,11.344632438629397,2.6837562657892704
100,25,N,x,2,3.983741257428529,1.1415462540462613
500,25,N,x,2,2.9610957116343233,1.3981493832543492
1e3,25,N,x,2,-7.035512026791801,0.11229168344289064
100,50,N,x,2,7.661370905969487,3.3460865831002593
500,50,N,x,2,2.8841733209443463,2.480460124090314
1e3,50,N,x,2,6.178138347967722,0.6359816137701273
100,10,G,f,2,4.033807019553027,1.9517243886366487
500,10,G,f,2,-0.4776407650748986,0.8250766219571233
1e3,10,G,f,2,7.562888448970949,1.7693917397409678
100,25,G,f,2,10.152206722614519,1.6451737703755498
500,25,G,f,2,11.662968058910273,3.822603724896908
1e3,25,G,f,2,5.246405104575921,2.6552075957879424
100,50,G,f,2,-1.581320110292748,1.9965807516127825
500,50,G,f,2,-7.477373893057173,2.0157322315499187
1e3,50,G,f,2,-3.118145086824609,3.4365727426484227
